Title,Location,Rent,Bathrooms,BHK,Area
"2 BHK Flat for Rent in Sree Adithya Elegant, Krishnarajapura, Bangalore","Sree Adithya Elegant, Krishnarajapura",30000,2.0,2.0,654
"2 BHK Flat for Rent in Sipani Bliss, Thirumagondanahalli, Bommasandra, Bangalore","Sipani Bliss, Thirumagondanahalli, Bommasandra",18000,2.0,2.0,770
"1 BHK Flat for Rent in Sobha Dream Gardens, Bellahalli, Bangalore","Sobha Dream Gardens, Bellahalli",27000,1.0,1.0,412
"3 BHK Flat for Rent in Godrej Royale Woods, Devanahalli, Bangalore","Godrej Royale Woods, Devanahalli",33000,2.0,3.0,1150
"2 BHK Flat for Rent in Ahad Serenity, Hosa Road Area, Bangalore","Ahad Serenity, Hosa Road Area",40000,2.0,2.0,1162
"2 BHK Flat for Rent in Block 6th Koramangala, Bangalore",Block 6th Koramangala,48000,2.0,2.0,1000
"3 BHK Flat for Rent in Shriram Greenfield, Budigere, Bangalore","Shriram Greenfield, Budigere",31400,3.0,3.0,960
"3 BHK Flat for Rent in Bhavisha Bentley Goldberg Phase I, Sompura, Bangalore","Bhavisha Bentley Goldberg Phase I, Sompura",40000,2.0,3.0,1276
"3 BHK Flat for Rent in Nallurhalli, Whitefield, Borewell Road, Bangalore","Nallurhalli, Whitefield, Borewell Road",30000,3.0,3.0,1700
"2 BHK Flat for Rent in Sobha Rain Forest, Balagere, Bangalore","Sobha Rain Forest, Balagere",50400,2.0,2.0,826
"3 BHK Flat for Rent in Brigade Exotica, Old Madras Road, Bangalore","Brigade Exotica, Old Madras Road",110000,4.0,3.0,3140
2 BHK House for Rent in Jigani Bangalore,Jigani,13000,2.0,2.0,650
"3 BHK Flat for Rent in LVR Residency, Koramangala, Bangalore","LVR Residency, Koramangala",80000,4.0,3.0,1700
"2 BHK Flat for Rent in Urban Ecospace, Sarjapura, Bangalore","Urban Ecospace, Sarjapura",25000,3.0,2.0,1198
"2 BHK Flat for Rent in MR Sannidhi, Uttarahalli Hobli, Bangalore","MR Sannidhi, Uttarahalli Hobli",27000,5.0,2.0,1130
